Service Name                                      Display Name                                      
PrintNotify                                       Printer Extensions and Notifications              
PrintScanBrokerService                            PrintScanBrokerService                            
PushToInstall                                     Windows PushToInstall Service                     
QWAVE                                             Quality Windows Audio Video Experience            
RasAuto                                           Remote Access Auto Connection Manager             
refsdedupsvc                                      ReFS Dedup Service                                
RemoteAccess                                      Routing and Remote Access                         
RemoteRegistry                                    Remote Registry                                   
RetailDemo                                        Retail Demo Service                               
RNDBWM                                            Rivet Dynamic Bandwidth Management                
RpcLocator                                        Remote Procedure Call (RPC) Locator               
ScDeviceEnum                                      Smart Card Device Enumeration Service             
SCPolicySvc                                       Smart Card Removal Policy                         
SDRSVC                                            Windows Backup                                    
seclogon                                          Secondary Logon                                   
SEMgrSvc                                          Payments and NFC/SE Manager                       
SensorDataService                                 Sensor Data Service                               
SensrSvc                                          Sensor Monitoring Service                         
SessionEnv                                        Remote Desktop Configuration                      
SgrmBroker                                        System Guard Runtime Monitor Broker               
shpamsvc                                          Shared PC Account Manager                         
smphost                                           Microsoft Storage Spaces SMP                      
SmsRouter                                         Microsoft Windows SMS Router Service.             
SNMPTrap                                          SNMP Trap                                         
sppsvc                                            Software Protection                               
ssh-agent                                         OpenSSH Authentication Agent                      
SupportAssistAgent                                Dell SupportAssist                                
svsvc                                             Spot Verifier                                     
swprv                                             Microsoft Software Shadow Copy Provider           
TermService                                       Remote Desktop Services                           
TieringEngineService                              Storage Tiers Management                          
TroubleshootingSvc                                Recommended Troubleshooting Service               
TrustedInstaller                                  Windows Modules Installer                         
tzautoupdate                                      Auto Time Zone Updater                            
UmRdpService                                      Remote Desktop Services UserMode Port Redirector  
vds                                               Virtual Disk                                      
vmcompute                                         Hyper-V Host Compute Service                      
vmicguestinterface                                Hyper-V Guest Service Interface                   
vmicheartbeat                                     Hyper-V Heartbeat Service                         
vmickvpexchange                                   Hyper-V Data Exchange Service                     
vmicrdv                                           Hyper-V Remote Desktop Virtualization Service     
vmicshutdown                                      Hyper-V Guest Shutdown Service                    
vmictimesync                                      Hyper-V Time Synchronization Service              
vmicvmsession                                     Hyper-V PowerShell Direct Service                 
vmicvss                                           Hyper-V Volume Shadow Copy Requestor              
VmwareAutostartService                            VMware Autostart Service                          
VSInstallerElevationService                       Visual Studio Installer Elevation Service         
VSS                                               Volume Shadow Copy                                
W32Time                                           Windows Time                                      
WaaSMedicSvc                                      WaaSMedicSvc                                      
WalletService                                     WalletService                                     
WarpJITSvc                                        Warp JIT Service                                  
wbengine                                          Block Level Backup Engine Service                 
WbioSrvc                                          Windows Biometric Service                         
wcncsvc                                           Windows Connect Now - Config Registrar            
WebClient                                         WebClient                                         
Wecsvc                                            Windows Event Collector                           
WEPHOSTSVC                                        Windows Encryption Provider Host Service          
wercplsupport                                     Problem Reports Control Panel Support             
WerSvc                                            Windows Error Reporting Service                   
WFDSConMgrSvc                                     Wi-Fi Direct Services Connection Manager Service  
WiaRpc                                            Still Image Acquisition Events                    
WinRM                                             Windows Remote Management (WS-Management)         
wisvc                                             Windows Insider Service                           
wlidsvc                                           Microsoft Account Sign-in Assistant               
wlpasvc                                           Local Profile Assistant Service                   
WManSvc                                           Windows Management Service                        
wmiApSrv                                          WMI Performance Adapter                           
WMPNetworkSvc                                     Windows Media Player Network Sharing Service      
workfolderssvc                                    Work Folders                                      
WpcMonSvc                                         Parental Controls                                 
WPDBusEnum                                        Portable Device Enumerator Service                
WslInstaller                                      Windows Subsystem for Linux                       
wuauserv                                          Windows Update                                    
WwanSvc                                           WWAN AutoConfig                                   
XblAuthManager                                    Xbox Live Auth Manager                            
XblGameSave                                       Xbox Live Game Save                               
XboxGipSvc                                        Xbox Accessory Management Service                 
XboxNetApiSvc                                     Xbox Live Networking Service                      
AarSvc_5180088f                                   Agent Activation Runtime_5180088f                 
BcastDVRUserService_5180088f                      GameDVR and Broadcast User Service_5180088f       
CaptureService_5180088f                           CaptureService_5180088f                           
CloudBackupRestoreSvc_5180088f                    Cloud Backup and Restore Service_5180088f         
ConsentUxUserSvc_5180088f                         ConsentUX User Service_5180088f                   
CredentialEnrollmentManagerUserSvc_5180088f       CredentialEnrollmentManagerUserSvc_5180088f       
DeviceAssociationBrokerSvc_5180088f               DeviceAssociationBroker_5180088f                  
DevicePickerUserSvc_5180088f                      DevicePicker_5180088f                             
MessagingService_5180088f                         MessagingService_5180088f                         
P9RdrService_5180088f                             P9RdrService_5180088f                             
PimIndexMaintenanceSvc_5180088f                   Contact Data_5180088f                             
PrintWorkflowUserSvc_5180088f                     PrintWorkflow_5180088f                            
UnistoreSvc_5180088f                              User Data Storage_5180088f                        
UserDataSvc_5180088f                              User Data Access_5180088f                         
